"Agreena_crop_IDENTIFIER","coolfarm_name"
"ALFALFA","Alfalfa"
"ALFALFA-SEED-HARVEST","Alfalfa"
"APPLE","Apple"
"BARLEY","Barley"
"BARLEY-SPRING-GRAIN-HARVEST","Barley"
"BARLEY-WINTER-FORAGE-HARVEST","Barley"
"BARLEY-WINTER-GRAIN-HARVEST","Barley"
"DRY-BEAN","Dry Bean"
"DRY-BEAN","Dry bean"
"BEAN-DRY-FORAGE-HARVEST","Dry bean"
"HORSEBEANS","Dry bean"
"BEAN-FAVA-FORAGE-HARVEST","Dry bean"
"BEAN-FAVA-SEED-HARVEST","Dry bean"
"BEAN-FAVA-WINTER-FORAGE-HARVEST","Dry bean"
"BEAN-FAVA-WINTER-SEED-HARVEST","Dry bean"
"BEAN-MUNG-FORAGE-HARVEST","Dry bean"
"BEAN-MUNG-SEED-HARVEST","Dry bean"
"BEET-FODDER-ROOT-HARVEST","Other tuber crop"
"BEET-FODDER-SEED-HARVEST","Other tuber crop"
"BEET-SUGAR-ROOT-HARVEST","Other tuber crop"
"BEET-SUGAR-SEED-HARVEST","Other tuber crop"
"BEETROOT-ROOT-HARVEST","Other tuber crop"
"BEETROOT-SEED-HARVEST","Other tuber crop"
"BLUEBERRY","Blueberry"
"BORAGE-SEED-HARVEST","Oats"
"BUCKWHEAT","Other grain"
"BUCKWHEAT-SEED-HARVEST","Oats"
"CANOLA-SPRING","Canola"
"CANOLA-WINTER","Canola"
"CARROT-ROOT-HARVEST","Other tuber crop"
"CARROT-SEED-HARVEST","Other tuber crop"
"CLOVER-BERSEEM-FORAGE-HARVEST","Clover"
"CLOVER","Clover"
"CLOVER-CRIMSON-FORAGE-HARVEST","Clover"
"CLOVER-CRIMSON-SEED-HARVEST","Clover"
"CLOVER-RED-FORAGE-HARVEST","Clover"
"CLOVER-RED-SEED-HARVEST","Clover"
"CLOVER-SUBTERRANEAN-SEED-HARVEST","Clover"
"CLOVER-WHITE-FORAGE-HARVEST","Clover"
"CLOVER-WHITE-SEED-HARVEST","Clover"
"COFFEE","Coffee"
"COTTON","Cotton"
"FLAX","Spring wheat"
"FLAX-LINSEED-SEED-HARVEST","Oats"
"GRASS-CLOVER-MIX","Grass-clover mix"
"GRASS-CLOVER-MIX-FORAGE-HARVEST","Grass-clover mix"
"SEED-GRASS","Perennial grass"
"PERENNIAL-GRASS","Perennial grass"
"GRASS-ITALIAN-RYE-SEED-HARVEST","Perennial grass"
"GRASS-MEADOW-FESCUE-SEED-HARVEST","Perennial grass"
"PLAIN-GRASS","Perennial grass"
"GRASS-RED-FESCUE-SEED-HARVEST","Perennial grass"
"GRASS-ROUGH-BLUE-SEED-HARVEST","Perennial grass"
"FEED-GRASS","Perennial grass"
"GRASS-TALL-FESCUE-SEED-HARVEST","Perennial grass"
"GRAZING-FIELD","Perennial grass"
"HEMP","Rapeseed"
"HEMP-BIOMASS-HARVEST","Rapeseed"
"HEMP-FIBER-HARVEST","Rapeseed"
"HEMP-SEED-HARVEST","Rapeseed"
"HORSEBEANS","Dry Bean"
"LENTIL-FORAGE-HARVEST","Dry bean"
"LENTIL-SEED-HARVEST","Dry bean"
"LUPINE-FORAGE-HARVEST","Dry bean"
"LUPINE-SEED-HARVEST","Dry bean"
"MAIZE","Maize"
"MAIZE-CORN","Maize"
"MILLET","Millet"
"MILLET-FORAGE-HARVEST","Millet"
"MISCANTHUS","Perennial grass"
"MUSTARD","Rapeseed"
"MUSTARD-SEED-HARVEST","Rapeseed"
"OAT-BLACK-FORAGE-HARVEST","Oats"
"OAT-BLACK-GRAIN-HARVEST","Oats"
"OATS","Oats"
"OAT-SPRING-GRAIN-HARVEST","Oats"
"OAT-WINTER-FORAGE-HARVEST","Oats"
"OAT-WINTER-GRAIN-HARVEST","Oats"
"ONION","Vegetable"
"ONION-SEED-HARVEST","Vegetable"
"OTHER","Other"
"OTHER-GRAIN","Other grain"
"OTHER-LEGUME","Other legume"
"OTHER-N-FIXING-FORAGE","Other N-fixing forage"
"OTHER-NON-N-FIXING-FORAGE","Other Non-N-fixing forage"
"OTHER-ROOT-CROPS","Other root crops"
"OTHER-TUBER-CROP","Other tuber crop"
"PEAS-CHICK-SEED-HARVEST","Dry bean"
"PEA-COW-FORAGE-HARVEST","Dry bean"
"PEA-COW-SEED-HARVEST","Dry bean"
"PEA-SPRING-FORAGE-HARVEST","Dry bean"
"PEA-SPRING-SEED-HARVEST","Dry bean"
"PEA-WINTER-FORAGE-HARVEST","Dry bean"
"PEA-WINTER-SEED-HARVEST","Dry bean"
"PEANUT","Peanut"
"PEAS","Dry bean"
"PERENNIAL-GRASS","Perennial grass"
"PHACELIA-SEED-HARVEST","Oats"
"PLAIN-GRASS","Perennial grass"
"POTATO","Other tuber crop"
"QUINOA","Oats"
"QUINOA-SEED-HARVEST","Oats"
"RAPE","Rapeseed"
"RAPESEED-SPRING-SEED-HARVEST","Rapeseed"
"RAPESEED","Rapeseed"
"RASPBERRY","Raspberry"
"RICE","Rice"
"RYE-SPRING-FORAGE-HARVEST","Rye"
"RYE-SPRING-GRAIN-HARVEST","Rye"
"RYE-WINTER-FORAGE-HARVEST","Rye"
"RYE","Rye"
"SAINFOIN-FORAGE-HARVEST","Alfalfa"
"SAINFOIN-SEED-HARVEST","Alfalfa"
"SORGHUM-FORAGE-HARVEST","Sorghum"
"SORGHUM","Sorghum"
"SOYBEAN-FORAGE-HARVEST","Soybean"
"SOYBEAN","Soybean"
"SPINACH-LEAF-HARVEST","Vegetable"
"SPINACH-SEED-HARVEST","Oats"
"STRAWBERRY","Strawberry"
"SUGAR-BEETS","Other tuber crop"
"SUNFLOWER","Rapeseed"
"SUNFLOWER-SEED-HARVEST","Rapeseed"
"TEA","Tea"
"TOMATO","Tomato"
"TREE-CROP","Tree Crop"
"TRITICALE-SPRING-FORAGE-HARVEST","Rye"
"TRITICALE-SPRING-SEED-HARVEST","Rye"
"TRITICALE-WINTER-FORAGE-HARVEST","Rye"
"TRITICALE","Rye"
"VEGETABLE","Vegetable"
"VETCH-FORAGE-HARVEST","Clover"
"VETCH-SEED-HARVEST","Clover"
"WHEAT","Winter wheat"
"SPRING-WHEAT","Spring wheat"
"WHEAT-SPELT-GRAIN-HARVEST","Winter wheat"
"WHEAT-SPRING-FORAGE-HARVEST","Spring wheat"
"WHEAT-SPRING-GRAIN-HARVEST","Spring wheat"
"WHEAT-WINTER-FORAGE-HARVEST","Winter wheat"
"WINTER-WHEAT","Winter wheat"
"WINTER-BARLEY","Barley"
