"","January","February","March","April","May","June","July","August","September","October","November","December"
"ALFALFA",0,0,0,0,0,0,0,0,1,0,0,0
"BARLEY",0,0,0,0,0,0,0,1,0,0,0,0
"DRY BEAN",0,0,0,0,0,0,0,1,0,0,0,0
"OTHER TUBER CROP",0,0,0,0,0,0,0,1,1,0,0,0
"VEGETABLE",0,0,0,0,0,0,0,1,0,0,0,0
"OATS",0,0,0,0,0,0,0,1,0,0,0,0
"CANOLA",0,0,0,0,0,0,0,1,0,0,0,0
"CLOVER",0,0,0,0,0,0,0,0,1,0,0,0
"COTTON",0,0,0,0,0,0,0,1,0,0,0,0
"TOMATO",0,0,0,0,0,0,0,1,0,0,0,0
"GRASS-CLOVER MIX",0,0,0,0,0,0,0,0,1,0,0,0
"PERENNIAL GRASS",0,0,0,0,0,0,0,0,1,0,0,0
"RAPESEED",0,0,0,0,0,0,0,1,0,0,0,0
"MAIZE",0,0,0,0,0,0,0,0,1,0,0,0
"MILLET",0,0,0,0,0,0,0,1,0,0,0,0
"OTHER GRAIN",0,0,0,0,0,0,0,1,0,0,0,0
"OTHER LEGUME",0,0,0,0,0,0,0,1,0,0,0,0
"OTHER N-FIXING FORAGE",0,0,0,0,0,0,0,1,0,0,0,0
"OTHER NON-N-FIXING FORAGE",0,0,0,0,0,0,0,1,0,0,0,0
"RICE",0,0,0,0,0,0,0,0,1,0,0,0
"RYE",0,0,0,0,0,0,0,1,0,0,0,0
"SORGHUM",0,0,0,0,0,0,0,1,0,0,0,0
"SOYBEAN",0,0,0,0,0,0,0,0,1,0,0,0
"SPRING WHEAT",0,0,0,0,0,0,0,1,0,0,0,0
"WINTER WHEAT",0,0,0,0,0,0,0,1,0,0,0,0
"TREE CROP",0,0,0,0,0,0,0,0,1,0,0,0
