"Coolfarm.name","Dry.matter.fraction.FDM","Slope.a","Intercept.b"
"ALFALFA",0.9,0.29,0
"BARLEY",0.89,0.98,0.59
"DRY BEAN",0.89,0.36,0.68
"OTHER TUBER CROP",0.22,0.1,1.06
"VEGETABLE",0.1235,0.1551,0.1166
"OATS",0.89,0.91,0.89
"CANOLA",0.88,1.09,0.88
"CLOVER",0.9,0.3,0
"COTTON",0.7917,0.665,0.7217
"TOMATO",0.9,0,3.2267
"GRASS-CLOVER MIX",0.9,0.3,0
"PERENNIAL GRASS",0.9,0.3,0
"RAPESEED",0.88,1.09,0.88
"MAIZE",0.87,1.03,0.61
"MILLET",0.9,1.43,0.14
"OTHER GRAIN",0.88,1.09,0.88
"OTHER LEGUME",0.91,1.13,0.85
"OTHER N-FIXING FORAGE",0.9,0.3,0
"OTHER NON-N-FIXING FORAGE",0.9,0.3,0
"RICE",0.89,0.95,2.46
"RYE",0.88,1.09,0.88
"SORGHUM",0.89,0.88,1.33
"SOYBEAN",0.91,0.93,1.35
"SPRING WHEAT",0.89,1.29,0.75
"WINTER WHEAT",0.89,1.61,0.4
"TREE CROP",0.9,0.3,0
