"","t","crop","cover","country","annual_yield","fym","biomass_distrib","residues","cc","cc_name","tillage_cr","DR","flag","cf1","cf2","cf3"
"1",0.0833333333333333,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"2",0.166666666666667,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"3",0.25,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"4",0.333333333333333,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"5",0.416666666666667,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"6",0.5,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"7",0.583333333333333,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"8",0.666666666666667,"TOMATO",0,"US",2.01,0,1,0.806675,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"9",0.75,"TOMATO",0,"US",2.01,0,0,0,0,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"10",0.833333333333333,"TOMATO",0,"US",2.01,0,0,0,0,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"11",0.916666666666667,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"12",1,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"13",1.08333333333333,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"14",1.16666666666667,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"15",1.25,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"16",1.33333333333333,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"17",1.41666666666667,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"18",1.5,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"19",1.58333333333333,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"20",1.66666666666667,"TOMATO",0,"US",2.01,0,1,0.806675,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"21",1.75,"TOMATO",0,"US",2.01,0,0,0,0,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"22",1.83333333333333,"TOMATO",0,"US",2.01,0,0,0,0,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"23",1.91666666666667,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"24",2,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"25",2.08333333333333,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"26",2.16666666666667,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"27",2.25,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"28",2.33333333333333,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"29",2.41666666666667,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"30",2.5,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"31",2.58333333333333,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"32",2.66666666666667,"TOMATO",0,"US",2.01,0,1,0.806675,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"33",2.75,"TOMATO",0,"US",2.01,0,0,0,0,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"34",2.83333333333333,"TOMATO",0,"US",2.01,0,0,0,0,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"35",2.91666666666667,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
"36",3,"TOMATO",0,"US",2.01,0,0,0,1,"winter",1,1.44,"Treatment",0.333333333333333,1.66666666666667,1
